state_ab,Total_EV_Level1_EVSE_Num,Total_EV_Level2_EVSE_Num,Total_EV_DC_FastCount,stations_number,state_name,id,area,electric
AK,3,91,36,67,Alaska,2,665384,2000
AL,35,744,395,466,Alabama,1,52420,8700
AR,3,724,134,341,Arkansas,4,53179,5100
AZ,10,2672,1063,1318,Arizona,3,113990,65800
CA,668,41181,11431,17878,California,5,163695,903600
CO,80,4810,1034,2399,Colorado,6,104094,59900
CT,64,2317,457,1004,Connecticut,7,5543,22000
DE,5,372,214,232,Delaware,8,2489,5400
FL,365,7837,2433,3723,Florida,10,65758,168000
GA,230,4291,1206,2225,Georgia,11,59425,60100
HI,26,839,98,422,Hawaii,12,10932,19800
IA,5,583,330,399,Iowa,16,56273,6200
ID,6,389,154,223,Idaho,13,83569,5900
IL,53,2621,1066,1427,Illinois,14,57914,66900
IN,8,1099,562,620,Indiana,15,36420,17700
KS,14,1016,231,586,Kansas,17,82278,7600
KY,24,609,222,328,Kentucky,18,40408,7600
LA,23,493,251,293,Louisiana,19,52378,5900
MA,53,7168,780,3293,Massachusetts,22,10554,49400
MD,40,4397,1020,1916,Maryland,21,12406,46100
ME,22,881,241,511,Maine,20,35380,5000
MI,14,2842,752,1559,Michigan,23,96714,33100
MN,74,1566,485,835,Minnesota,24,86936,24300
MO,15,2423,485,1347,Missouri,26,69707,17900
MS,139,307,120,173,Mississippi,25,48432,2400
MT,3,193,193,133,Montana,27,147040,3300
NC,43,3403,1120,1733,North Carolina,34,53819,45600
ND,0,124,89,101,North Dakota,35,70698,600
NE,2,419,161,273,Nebraska,28,77348,4600
NH,5,436,183,277,New Hampshire,30,9349,7000
NJ,16,3000,1078,1447,New Jersey,31,8723,87000
NM,10,485,254,318,New Mexico,32,121590,7100
NV,15,1451,755,647,Nevada,29,110572,32900
NY,36,10729,1459,4335,New York,33,54555,84700
OH,41,3053,863,1713,Ohio,36,44826,34100
OK,8,557,871,386,Oklahoma,37,69899,16300
OR,74,2570,845,1378,Oregon,38,98379,47000
PA,49,3600,1093,1906,Pennsylvania,39,46054,47400
RI,82,790,91,366,Rhode Island,40,1545,4300
SC,15,1028,515,634,South Carolina,41,32020,13500
SD,2,130,116,104,South Dakota,42,77116,1200
TN,34,1794,542,992,Tennessee,43,42144,22000
TX,123,7041,2749,3591,Texas,44,268596,149000
UT,15,1978,386,969,Utah,45,84897,28000
VA,219,3637,1213,1735,Virginia,47,42775,56600
VT,22,890,138,415,Vermont,46,9616,5300
WA,165,5032,1253,2499,Washington,48,71298,104100
WI,7,1071,449,646,Wisconsin,50,65496,15700
WV,19,299,155,166,West Virginia,49,24230,1900
WY,3,145,117,114,Wyoming,51,97813,800
